question,choice,answer
电力生产企业应按照()的原则，建立各级人员的防火责任制。,谁主管、谁负责|谁使用，谁负责|定点、定人、定任务|谁管理、谁主管,A
(　　)或场所以及禁止明火区如需动火工作时，必须执行动火工作票制度。,作业现场|加工区|电气设备构架|防火重点部位,D
梯子应坚固完整，梯子的支柱应能承受作业人员及所携带的工具、材料攀登时的总重量，硬质梯子的横木应嵌在支柱上，梯阶的距离不应大于(　　)，并在距梯顶(　　)处设限高标志。梯子不宜绑接使用。,300mm、0.6m|300mm、1.0m|400mm、1.0m|400mm、0.8m,C
使用摇表在测量绝缘前后，必须将被试设备(　　),停电|对地放电|悬挂标示牌|拆除,B
观测表计时，要特别注意保持头部与(　　)的安全距离。,带电部分|表计|他人|设备,A
接地线应由透明护套的多股裸铜软绞线组成，且不得有断股、散股和接头，截面不得小于()mm2，同时应满足装设地点短路电流的要求。,25|35|20|30,A
对无法进行直接验电的设备，如何进行间接验电。(　　),检查电气指示|检查以上指示至少应有两个及以上已同时发生对应变化|检查带电显示装置指示|检查仪表指示|检查机械指示位置,B
防止突然来电对人员造成伤害的最根本措施是：(),安装三相短路接地线|开关上加锁|加装机械防误锁|在刀间操作把手上挂“禁止合闸，有人工作”的标示牌。,A
电气工作人员对《安规》应每年考试一次。因故间断电气工作连续(　　)以上者，必须重新温习本规程，并经考试合格后，方能恢复工作。,三个月|一年|一个月|半年,A
电气工作人员必须具备的条件规定，体格检查每(　)至少一次。,半年|两年|一年|三年,B
安规规定，起吊重物不准让其长期悬在空中。有重物()悬在空中时，严禁驾驶人员离开驾驶室或做其它工作。,需要|暂时|经有关人员同意|必须,B
安规规定，()连接建筑物金属构架和设备等作为焊接电源回路。,可以|不准|必要时|禁止,D
安规规定，运行中的制粉系统不应有漏粉现象。制粉设备的厂房内不应有积粉，积粉应随时清除。发现积粉自燃时，应用喷壶或其它器具把水喷成雾状，熄灭着火的地方。不得用()直接浇注着火的煤粉，以防煤粉飞扬引起爆炸。,消防水|自来水|灭火器|压力水管,D
"安规规定，存煤自燃时,()在煤堆正上方作业及灭火。",禁止|不可以|不准|应,A
安规规定，工人砸煤时应()。砸煤时要注意站的位置，以防跌倒伤人。,穿防护服|戴防护眼镜|戴手套|防砸鞋,C
安规规定，储煤场应有良好的照明、排水沟和消防设备，()的通路应畅通。,消防车辆|上下班|事故抢险|运煤作业,A
行灯电压不应超过()，在周围均是金属导体的场所和容器内工作时，不应超过()。在潮湿的金属容器内、有爆炸危险的场所(如煤粉仓、沟道内)、脱硫烟道系统等处工作时，不应超过()。行灯变压器的外壳应可靠地接地，不准使用自耦变压器。,24V、12V、12V|24V、12V、6V|36V、12V、12V|36V、24V、12V,D
安规规定，在金属容器和狭窄场所工作时，必须设专人不间断地监护，监护人可以随时切断电动工具的电源。电源联接器和控制箱等应放在()。,干燥场所|容器外面|容器外面、宽敞、干燥场所|不影响通行的地方,C
安规规定，在金属容器和狭窄场所工作时，必须使用()以下的电气工具，或选用Ⅱ类手持式电动工具。,24V|36V|220V|12V,A
安规规定，遇有电气设备着火时，应()将有关设备的电源切断，然后进行救火。,快速|找人|设法|立即,D
安规规定，发现有人触电，应()切断电源，使触电人脱离电源，并进行急救。,立即|找人|快速|设法,A
安规规定，敷设临时低压电源线路，应使用绝缘导线。严禁将导线()在护栏、管道及脚手架上。,放置|捆绑|缠绕|搭设,C
"安规规定，敷设临时低压电源线路，应使用绝缘导线。室内/外架空高度应分别大于(),跨越道路应大于6m。",2m/3m|2.5m/3.5m|2.5m/4m|2.5m/3m,C
安规规定，应避免靠近和长时间的停留在可能受到烫伤的地方。如因工作需要，必须在这些处所长时间停留时，应()。,有人监护|穿防护服|经领导批准|做好安全措施,D
安规规定，在机器设备断电隔离之前或在机器转动时，()从靠背轮和齿轮上取下防护罩或其它防护设备。,小心|戴上防护手套后|尽可能快的|禁止,D
安规规定，作业人员进入生产现场必须穿着()的工作服，着装不应有可能被转动的机器绞住的部分，衣服和袖口必须扣好。,抗静电|材质合格|宽松|阻燃,B
安规规定，企业必须对()进行厂(公司)、车间(部门)、班组(岗位)的三级安全教育培训，告知作业现场和工作岗位存在的危险因素、防范措施及事故应急措施。,外来务工人员|所有新员工|参观人员|实习生,B
安规规定，进入空气流动性较差的场所作业，必须事先进行通风，并测量氧气含量、一氧化碳、可燃气等气体含量，确认不会发生()。,中毒|缺氧|缺氧、中毒|窒息,C
安规规定，在楼板和结构上打孔或在规定地点以外安装起重滑车或堆放重物等，必须事先经过本单位()的审核许可。,主管领导|有关技术部门|负责人|技术人员,B
安规规定，()利用任何管道、栏杆、脚手架悬吊重物和起吊设备。,经加固后，可以|办理许可手续后，可以|经相关部门同意后，可以|禁止,D
安规规定，所有高出地面、平台1.5m，需经常操作的阀门，必须设有便于操作，牢固的()。,梯子或平台|移动平台|固定平台|梯子,A
安规规定，工作场所的井、坑、孔、洞或沟道，必须覆以()的盖板。,明显|厚重|与地面齐平的坚固|坚固,C
安规规定，门口、通道、楼梯和平台等处，不准放置()。,急救箱|油品|梯子|杂物,D
安规规定，高度低于2.5米的电缆夹层、隧道应采用()供电。,保安|安全电压|应急|紧急,B
安规规定，各级领导人员不应发出违反安全规定的命令，工作人员接到违反安全规定的命令，应()执行。,复松确认后|视情况|拒绝|报告上级后,C
安规规定，电力生产必须建立健全各级人员安全生产责任制。按照“()”的原则，做到在计划、布置、检查、总结、考核生产工作的同时，计划、布置、检查、总结、考核安全工作。,安全第一|管生产必须管安全|全面管理|谁主管谁负责,B
汽、气、水、烟、风、油系统，公用排污、疏水系统检修必须将应关闭的截门、闸板、挡板关严加锁，挂警告牌。如截门不严，必须采取关严前一道截门并加()、 挂“禁止操作，有人工作”警告牌或采取经分厂批准的其他安全措施。,锁|铅封|截门|堵板,A
触电的()与电流大小、电压高低、人体电阻，电流通过人体的途径，触电时间长短和人的精神状态等六种因素有关。,位置|程度|原因|伤害程度,D
浓酸强碱一旦溅入眼睛或皮肤上，首先应采用( )方法进行清洗。,清水清洗|1%的醋酸清洗|2%稀碱液中和|0.5%的碳酸氢钠溶液清洗,A
触电人心脏跳动停止后，应采用()方法进行抢救。,摇臂压胸| 胸外心脏挤压|打强心针|口对口呼吸,B
在地下室内，对设备进行操作、巡视、维护或检修工作不得少于()人。,2|4|1|3,A
所有高出地面、平台()，需经常操作的阀门，必须设有便于操作，牢固的梯子或 平台。,1.0m|0.5m| 1.5m| 2.0m,C
对于临时工，下列正确的是( ),临时工的事故统计、考核与固定职工相同，但从事生产工作所需的安全防护用品的发放不与固定职工相同|临时工的安全管理、事故统计、考核以及安全防护用品的发放与固定职工同等对待|临时工从事生产工作所需的安全防护用品的发放不与固定职工相同|临时工的安全管理与固定职工相同，但不考核、不统计,B
新入厂的生产人员，必须经( )考试合格，方可进入生产现场工作.,经车间考试合格|经厂(局、公司)、车间和班组三级安全教育，经《电业安全工作规程》考试合格|经厂(局、公司)考试合格|经班组考试合格,B
“两票三制”中的“三制”是指( ),交班制、接班制、巡回检查制|班前会制、班后会制、巡回检查制|交接班制、巡回检查制、设备定期试验轮换制|设备运行制、设备检修制、设备定期试验轮换制,C
防止“五种”电气误操作事故，要求凡有可能引起电气误操作的高压电气设备，均应装设防误装置。“五防”功能中除以下( )可采用提示性装置外，其它“四防”均应用强制性的装置?,防止带电挂(合)接地线(接地开关) |防止带负荷拉(合)隔离开关|防止带地线(接地开关)合断路器 |防止误分(误合)断路器 |防止误入带电间隔,D
进入下列现场，( )必须戴安全帽?,控制室|高压配电室 |非生产区域|检修班组办公室,B
当过道中存在高度低于()的物件时，必须设置明显的警告标志。地面有油水、泥污等，必须及时清除，以防滑跌。,2 m |3.5 m|2.5 m C|3 m,A
()在转动着的高压电动机及其附属装置回路上进行工作。,允许|同意|禁止,C
带电作业应在良好天气下进行。如遇雷雨雪雾不得进行带电作业，风力大于()级，一般不宜进行带电作业。,4|3|5,C
作业现场任何人和任何工作都严禁()停送电。,按时|不联系|约时,C
电气绝缘靴试验周期为()。,3个月|半年|1年,B
在地下维护室和沟道内工作，禁止使用明火照明，可用()的行灯。在有有害气体的地下维护室及沟道内工作，应使用携带式的防爆电灯或矿工用的蓄电池灯。,220V |12V～36V | 380V,B
工作票管理规定：动火工作票一般保存时间为()个月。,6|5|7,A
作业现场的生产条件和安全设施等应符合有关标准、规范的要求，工作人员的()应合格、齐备。,安全工器具 |劳动防护用品 |车辆配备,B
安全带的挂钩或绳子应挂在结实牢固的构件上，或专为挂安全带用的钢丝绳上，应采用()的方式。,高挂低用 |低挂高用 |平挂使用,A
制定《电力安全工作规程》的目的是为了加强电力生产现场管理，规范()工作人员的行为，保证人身、电网和设备安全。,各类|检修 |运行 |管理,A
"《电力安全建设工作规程 第一部分》(DL 5009.1-2014)规定：高处作业人员在从事活动范围较大,水平活动在以垂直线为中心的()半径范围内的作业时，必须使用速差自控器。",1.5|1|2|2.5,A
《电力安全工作规程 发电厂和变电站电气部分》(GB 26860-2011)第6.2.1条款规定：人员工作中与35kV、110kV、220kV设备带电部分的安全距离分别为(),0.60m、1.20m、5.00m |0.60m、1.50m、3.00m|0.60m、1.50m、4.00m|0.60m、1.50m、2.00m,B
《电力安全工作规程(热力和机械)》(GB 26164.1-2010)第3.4.1条款规定：规定:机器的转动部分( )装有防护罩或其它防护设备(如栅栏)，露出的轴端必须设有护盖。,可|视情况|必须|严禁,C
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第16.1.8条款规定：起重机械只限于熟悉使用方法并经有关机构业务培训考试合格、取得( )的人员操作。,管理资格证|公司领导批准|操作资格证|培训合格证,C
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第151.3条款规定：上下层同时进行工作时，中间必须搭设严密牢固的防护隔板、罩棚或其他( )。,防护措施|隔离设施|应急措施|安全措施,B
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第14.3.3条款规定：储存气瓶仓库周围( )m距离以内，不准堆置可燃物品，不准进行锻造、焊接等明火工作，并禁止吸烟。,15|10|8|5,B
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第8.6.3条款规定：所有转动机械检修后的试运行操作，应由( )根据检修工作负责人的要求进行，检修工作人员不准自己进行试运行的操作。,工作许可人|运行值班人员|值长|运行人员,B
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.2.29条款规定：主控室、化验室等场所应配备急救箱，应根据生产实际存放相应的( )，并指定专人经常检查、补充或更换。,包扎材料|急救药品|针剂|烫伤材料,B
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.4.4条款规定：清拭运转中机器的( )部分时，严禁戴手套或将抹布缠在手上使用，只有在转动部分对工作人员没有危险时，方可允许用长嘴油壶或油枪往油盅和轴承里加油。,固定|移动|旋转|旋转和移动,A
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.2.13条款规定：所有升降口、大小孔洞、楼梯和平台，必须装设不低于( )mm高的栏杆和不低于100mm高的脚部护板。,1100|1050|1000|1200,B
()指能关合、承载、开断运行回路正常电流，也能在规定时间内关合、承载及开断规定的过载电流(包括短路电流)的开关设备，也称开关。,隔离开关|变电站|熔断器|断路器,D
:验电( )，验电器应先在有电设备上确证验电器良好。,前| 期间| 中|后,A
触电事故即人体触及带电体所发生的事故，主要分电击和()两大类。触电事故中危及生命安全的主要是电击。,电伤|电场伤害|电弧灼伤,C
现场作业中，如工作可能影响周围()时，应设置防护装置及警告标志。,消防、应急通道|环境、交通|作业人员视线,B
关于人工搬运物料，()的描述不正确。,易滑或伤手的物体应使用防护手套搬运|搬运散装零部件可用手抱 |不能超重搬运，搬运姿式应适当 |禁止单人搬运6M长以上的脚手架管,B
一项起重作业在某个时间内最多只能由(　)名指挥人员发出指令信号。,1 |2 |1至2 |3,A
在工作中，如遇到酸溅到皮肤上，必须采取的第一处理措施是()。,立即用碱性溶液中和|拨打事故灾难报警电话求救 |用棉布擦拭伤害部位|立即用大量清水冲洗伤害部位,D
常用安全电压等级有( )。,56V、36V、24V、12V |46V、36V、24V、16V|48V、38V、26V、12V |48V、36V、24V、12V,D
用于表示“当心触电、注意安全等标志”的安全标志的类型为()。,警告标志|禁止标志|提示标志|指令标志,A
一般当环境中氧含量低于()时，就有窒息风险。,19%|18%|21%|20%,B
安全色是传递安全信息含义的颜色，包括()四种颜色。,红、黑、黄、绿 |红、黑、白、绿|红、蓝、黄、绿 |红、蓝、白、绿,C
( )发现有违反《电力生产安全工作规程》，并足以危及人身和设备安全者，应立即制止。,任何工作人员|单位领导 |生产管理人员|工作负责人,D
心肺复苏的黄金时限是指临床死亡后开始的()分钟之内。,10|8 |4 |6,C
现场急救最主要的目的是(),减轻伤员痛苦 |减少死亡，降低伤残率|消除伤员的致伤因素 |尽可能快的转送伤员到医院,B
心肺复苏技术支持生命的三项基本措施的正确顺序是()。,畅通气道、胸外心脏按压、人工呼吸|畅通气道、人工呼吸、胸外心脏按压|胸外心脏按压、畅通气道、人工呼吸,C
电力生产必须始终坚持()的安全生产方针，贯彻落实“任何风险都可以控制，任何违章都可以预防，任何事故都可以避免”的安全理念。,"安全第一，预防为主，综合治理|安全第一，预防为主|安全第一|预防为主,安全第一",A
企业可根据本单位的实际情况制定补充条文，经（）批准后执行，但补充条文的安全要求不得低于本规程或与本规程条文相抵触。,总经理|主管安全生产的领导（总工程师）|副总经理|工会主席,B
禁止利用任何（）、栏杆、脚手架悬吊重物和起吊设备。,支架|钢结构|管道|吊钩,C
生产厂房应备有（），以便放置擦拭材料（抹布和棉纱头等），用过的擦拭材料应另放在废棉纱箱内，含有毒有害工业油品的废弃擦拭材料，应设置专用箱收集，定期清除。,带盖的铁箱|垃圾箱|铁桶|铁箱,A
进入煤粉仓、引水洞等相对受限场所以及地下厂房等空气流动性较差的场所作业，必须事先进行通风，并测量（）、一氧化碳、可燃气等气体含量，确认不会发生缺氧、中毒、爆炸等情况，方可开始作业。,空气|氧气|二氧化碳|氢气,B
外来参观人员必须被告知现场危险点和安全注意事项，并在（）的陪同下，方可进入现场。,运行人员|管理人员|行政人员|有关人员,
凡进入储煤场、起重区域、车辆装卸区域、铁路正线防护栅栏内、机动车辆运行的各种线路上进行作业以及进入存在光线不足、视认性差等安全隐患或需要提供有效视觉警示场所的人员，必须穿着符合安全要求的（）或采取其他形式的高可视性警示措施。,工作服|反光背心|棉质工作服|合格工作服,B
进入高粉尘场所和从事相关作业应佩带（），普通纱布口罩不能替代防尘口罩。,口罩|面罩|呼吸器|防尘口罩,D
禁止在（）中的设备上装卸和校正皮带或传动链条，或直接用手往皮带上撒松香等物品。,运行|检修|转动|备用,C
巡视、检查设备必须经（）或值班负责人（运行班长、单元长）同意，并将开始、结束时间记在运行日志内。,主任|专职|值长|副主任,C
所有电气设备的金属外壳均应有良好的（）。,绝缘|警告标示|接地装置|警戒线,C
任何电气设备上的标示牌，除原来放置人员或负责的（）外，其他任何人员不准移动。,运行值班人员|巡检人员|检修人员|管理人员,A
使用工具前应进行（），严禁使用不完整的工具。,试验|试用|检验|检查,D
介入工作票必须在（）内终结。,24H|12H|8H|48H,B
作业安全风险控制卡作为工作票的附页，由（）填写，与工作票同时签发，统一管理。,工作许可人|运行人员|检修人员|工作负责人,D
事故紧急抢修工作或在危及人身和设备安全的紧急情况下，经（）许可后，可以没有工作票即进行抢修或处置，但必须使用紧急抢修单。,运行班长|分管主任|值长|运行人员,C
每份工作票由工作票签发人和工作许可人修改不得超过（）。其中设备名称、编号、接地线位置、日期、时间、动词以及人员姓名不得改动。,一处|二处|三处|四处,B
计划工作需要办理工作票的，应在工作开始前，提前一日将工作票送达值长处；临时工作、消缺工作或介入工作票可在工作开始前（），直接送交值长。,1H|2H|3H|4H,A
开工后，严禁工作负责人和工作许可人任何一方变更工作内容、运行方式和安全措施。如确需变更，必须（）工作票。,交回|终结|重新办理|作废,C
"工作负责人必须在批准工期前(), 向工作许可人申明理由，办理申请延期手续。",1H|2H|3H|4H,B
延期手续只能办理（），如需再延期，应重新签发新的工作票。,一次|二次|三次|四次,A
运行值班人员在工作票终结之前，（）将检修设备投入运行。,可以|暂时|必要时|严禁,D
运行值班人员拆除临时围栏，取下标示牌，恢复安全措施，汇报值长或值班负责人（运行班长、单元长）。对未恢复的安全措施，汇报值长或值班负责人（运行班长、单元长）并做好记录，在工作票右上角加盖()章，工作票方告终结。,已终结|已执行|作废|已许可,B
动火工作票不准代替检修工作票和紧急抢修单，应在动火工作票上注明（）。,日期|工作成员|检修工作票、紧急抢修单的编号|工作地点,C
二级动火工作票的有效期为()，但均不准超过相应检修工作票的许可期限。,24H|48H|72H|120H,D
