question,answer
新投产发电设备由于设计单位主要责任造成设备事故，但投运时间已超过一年，应中断该发电单位的安全记录。,正确
本企业实习生在从事电力生产有关工作过程中发生的人身伤亡，不统计为电力生产人身伤亡事故。,错误
防汛、抗震、防台风等应急预案所需项目，不能作为制定反事故措施计划的依据。,错误
安全监督人员有权对事故现场进行拍照、录音、录像等，安全监督人员对违反规定，隐瞒事故或阻碍事故调查的行为有权纠正或越级反映,正确
直流电力系统中1500V及其以下的电压等级称为低压。,正确
发现绝缘工具受潮或表面损伤、脏污时，应及时进行处理后方可使用。,错误
"存煤自燃时,在煤堆正上方作业及灭火时要做好安全措施,防止坍塌。",正确
"煤场存煤应及时倒烧,防止存煤积煤自燃.发现积煤自燃时,应及时采取措施灭火,防止一氧化碳和二氧化硫等气体中毒,不应将已燃存煤上至皮带。",正确
特殊情况可以利用任何管道、栏杆、脚手架悬吊重物和起吊设备,错误
清拭运转中机器的固定部分时，应戴手套或将抹布缠在手上使用，只有在转动部分对工作人员没有危险时，方可允许用长嘴油壶或油枪往油盅和轴承里加油。,错误
经常有人工作的场所及施工车辆上宜配备急救箱，存放急救用品，并应指定专人经常检查、补充或更换。,正确
在发现直接危及人身安全的紧急情况时，现场负责人有权停止作业并组织人员紧急后撤离作业场所。,正确
操作设备应具有明显的标志，包括命名、编号、设备相色等。,正确
装设接地线时，应先装接导体端，后装接地端。,错误
接地线截面积不应小于35平方毫米。,错误
如梯子长度不够而需将两个梯子连接使用时，须用金属卡子接紧，或用铁丝绑接牢固。,正确
在楼板和结构上打孔或在规定地点以外安装起重滑车或堆放重物等，必须事先经过本单位有关技术部门的审核许可。,正确
各级领导人员都不准发出违反安全规程的命令。工作人员接到违反安全规程的命令，应拒绝执行。,正确
在危及人身和设备安全的紧急情况下，经分管生产的行政副职或总工程师许可后，可以没有工作票即进行处置。,错误
在潮湿的金属容器内、有爆炸危险的场所(如煤粉仓、沟道内)、脱硫烟道系统等处工作时，不应超过24V。,错误
遇有6级以上的大风时，禁止露天进行起重工作。,正确
电气设备上的标示牌，如果因工作需要，可以将其临时移动、拆除，工作完后恢复。,错误
当现场有人发生触电，出现心跳停止时，应以最快速度送到医疗中心。,错误
在梯子上工作时，梯子与地面的斜角度为60°左右。工作人员必须登在距梯顶不 少于1米的梯蹬上工作。,正确
发现有人触电时，应先向有关部门汇报，然后进行抢救。,错误
在落差大于1、5米且无防护措施的高处工作时必须戴安全带。,正确
电力安全工器具分为绝缘安全工器具、一般防护安全工器具两大类。,错误
办理工作票时，检修班组成员不能代替工作票负责人在工作票上签字。,正确
检修工作需短时延期(二小时内)的工作票无需办理延期手续。,错误
为提高工作效率，经领导允许，可以用别人的工号签发、许可、终结工作票。,错误
外来承包商施工区域涉及到电子间、升压站等重点区域时，项目管理部门需派专人监护。,正确
外包工程中，安环部应负责组织对承包单位进行安全与技术交底。,错误
电缆着火时会产生有毒气体，扑救人员需佩戴正压式空气呼吸器作为防护进行灭火。,正确
任何产生火花的工作都应视作动火工作。,正确
安全带使用前应进行检查，并应定期进行静荷重试验。,错误
“安规”规定在梯子上工作时，梯子与地面的斜角度为65°左右,错误
电力生产必须坚持“安全第一、预防为主”的方针。,错误
电力生产必须始终坚持“安全第一，预防为主，综合治理”的安全生产方针。,正确
楼板、平台应有明显的允许荷载限值标志。,正确
可以利用任何管道、栏杆、脚手架悬吊重物和起吊设备。,错误
任何人员进入生产现场（办公室、控制室、值班室和检修班组室除外），必须戴好安全帽。,正确
进入高粉尘场所和从事相关作业应佩带防尘口罩，普通纱布口罩不能替代防尘口罩。,正确
巡视、检查设备必须经值长或值班负责人（运行班长、单元长）同意，并将开始、结束时间记在运行日志内。,正确
开工后，严禁运行或检修人员单方面变动安全措施。,正确
工作许可人和工作负责人共同到现场验收，检查设备状况、有无遗留物件、是否清洁等，然后在工作票上填写工作结束时间，双方签名，工作方告终结。,正确
运行值班人员在工作票终结之前，可以将检修设备试运行。,错误
动火工作票至少一式二份。,错误
动火前可燃性、易爆气体含量或粉尘浓度检测的时间距动火作业开始时间不应超过2.0h。,正确
动火作业现场应配备足够、适用、有效的灭火设施、器材。,正确
各工作场所、通道及铁道沿线的重点部位应有良好的照明。,错误
各种储运煤设备限位、保护（含拉线开关等）、电气联锁、声、光信号报警装置正常，有定期检查、试验记录。抱闸良好，转动部分防护罩牢固。,正确
储煤场应有良好的照明、排水沟和消防设备，消防车辆的通道应畅通。,正确
煤场煤堆应定期测温，存煤应及时倒烧。发现自燃时应及时采取措施灭火，防止一氧化碳和二氧化硫等气体中毒，不应将已经燃烧的原煤运送到输送机胶带上。,正确
司机开动卸储煤机械前只需发出音响信号，无需确认附近无人和无妨碍起动的障碍物时即可启动。,错误
禁止用吊斗、抓斗载运人员或工具。,正确
斗轮机的梯子及围栏，应保持完整。照明应保证足够的亮度。斗轮机应挂“未经许可，不准攀登”的警告牌，必要的爬梯口装门加锁。,正确
禁止斗轮机大车在悬臂或静止轮斗抵触煤堆时强行进车。,正确
斗轮机尾车堆、取工位变换时，必要时须有专人监护。,错误
卸船期间，发现煤船缆绳松动必须及时通告煤船操作人员。煤船漂离码头2m 以上，禁止卸煤作业。,正确
燃用易自燃煤种的储运煤系统应采用阻燃胶带。,正确
给料或转运料斗及溜槽开口位置应设防护装置。,正确
船舱内余煤较多且坡度较陡时，应先采取排除塌方措施，方可下舱作业。,正确
清舱人员上下舱后，可以在舱口作业区域监护。,错误
人工清理船舱横梁积煤时，应在舱内煤位略低于横梁时进行，并“面向低位舱、背向高位舱”站位，可以倒退行走作业。,错误
禁止清舱机和卸船机在同一舱内作业。卸船机作业时，距离清舱机停放位置2m 区域内禁止下落抓斗抓煤。,错误
上下码头和跨越两船时，如果水平宽度或者高度差大于0.5m，应使用跳板或梯子。,正确
码头上应设置有一定数量的救生设施和消防器材，并应放在明显的位置。工作人员临水作业时，必须穿救生衣。,正确
"主厂房内架空电缆与热体管路应保持足够的距离，控制电缆不小于1m,动力电缆不小于1.5 m。",错误
对于新建、扩建的火力发电机组主厂房、输煤、燃油及其他易燃易爆场所，宜选用阻燃电缆。,正确
及时消除漏粉点，清除漏出的煤粉。清理煤粉时，应杜绝明火。,正确
输煤皮带停止上煤期间，可以不予巡视检查，发现积煤、积粉应及时清理。,错误
煤垛发生自燃现象时应及时扑灭，不得将带有火种的煤送人输煤皮带。,正确
加强燃用煤种的煤质分析和配煤管理，燃用易自燃的煤种应及早通知运行人员，以便加强监视和巡查，发现异常及时处理。,正确
消除制粉系统和输煤系统的粉尘泄漏点，降低煤粉浓度。大量放粉或清理煤粉时，应杜绝明火，防止煤尘爆炸。,正确
不定期对人员进行安全技术培训，提高安全技术防护水平。,错误
加强对各种承包工程的安全管理，反对对工程项目进行层层转包，明确安全责任，做到严格管理，安全措施完善，并根据有关规定严格考核。,正确
应经常进行各种形式的安全思想教育，提高职工的安全防护意识和安全防护方法。,正确
在厂（局）内的车辆速度应有明确的限制。,正确
加强对环保知识的培训和宣传，提高环保意识。,正确
与热力和机械相关的工作人员应按本部分每年考试一次。中断工作连续3个月以上者，必须重新学习本部分，并经考试合格后，方能恢复工作。（ ）,正确
工作人员接到违反安全规定的命令，应拒绝执行。（ ）,正确
固定式砂轮机磨削产生的火花应向上。（ ）,错误
清拭运转中机器的固定部分时，严禁戴手套或将抹布缠在手上使用。（ ）,正确
在可能引起火灾的场所附近进行焊接工作时，必须备有必要的消防器材。（ ）,正确
焊工应戴防尘口罩穿帆布工作服、工作鞋，戴工作帽、手套，上衣不应扎在裤子里。（ ）,正确
严禁在使用煤油或酒精的喷灯内注入汽油。（ ）,正确
禁止使用氧气瓶等高压气源作为风动工具的气源。（ ）,正确
检修工作处所如有裸露的电线，应认为是带电的，不准触碰。（ ）,正确
严禁在运煤设备运行中进行任何检修或清理工作。（ ）,正确
严禁不收回工作票，以口头方式联系试运设备。（ ）,正确
检修工作开工后，严禁运行或检修人员单方面变动安全措施。（ ）,正确
口头联系或约时停、送电时，应使用标准术语。（ ）,错误
每份工作票签发人和许可人不得在工作票上修改。（ ）,错误
在危及人身和设备安全的紧急情况下，经值长许可后，可以没有工作票即进行处置，但必须由运行班长（或值长）将采取的安全措施和没有工作票而必须进行工作的原因记在运行日志内。（ ）,正确
一个班组在同一个设备系统上依次进行同类型的设备检修工作时，如全部安全措施不能在工作开始前一次完成，应分别办理工作票。（ ）,正确
一份工作票中，工作票签发人、工作负责人和工作许可人三者不得相互兼任。一个工作负责人不得在同一现场作业期间内担任两个及以上工作任务的工作负责人或工作组成员。（ ）,正确
工作票应使用统一格式，各单位可以根据实际情况进行补充，但不得删减。（ ）,正确
喷灯用完后，应消压，待冷却后方可放入工具箱内。（ ）,正确
票面需要填写数字的，应使用阿拉伯数字（或母线可以使用罗马数字）；时间按24h计算，年度填写4位数字，月、日、时、分填写2位数字。（ ）,正确
当无工作负责人带领时，工作人员不得进入工作地点。（ ）,正确
不熟悉电气工器具使用方法的工作人员要谨慎使用。（ ）,错误
任何电气设备上的标示牌，除原来放置人员外，其他任何人员不准移动。（ ）,错误
工作服、专用防护服，个人防护用品应根据产品说明或实际情况定期进行更换。（ ）,正确
电源开关外壳和电线绝缘有破损不完整或带电部分外露时，应立即找电气人员修好。（ ）,正确
油管道不宜用法兰盘连接。（ ）,正确
禁止带电移动110V、220V的临时电灯。（ ）,正确
在通气的橡胶软管上方进行动火作业时，应先做好相应的防火措施。（ ）,错误
在使用脚手架前工作负责人对脚手架底部进行检查，检查后在脚手架准用证上签字。（ ）,错误
如梯子长度不够而需要将两个梯子连接使用时，应用铁丝绑接牢固。 （ ）,正确
人在梯子上时，要缓慢移动梯子，切勿快速移动，防止人员发生坠落。 （ ）,错误
多台焊机可以共用一个电源，但是焊机超负荷时，应能自动切断电源。（ ）,错误
遇有大雾、照明不足、指挥人员看不清各工作地点或起重驾驶人员看不见指挥人员时，不准进行起重工作。（ ）,正确
清拭运转中机器的固定部分时，严禁戴手套或将抹布缠在手上使用。（ ）,正确
电气工器具的电线不应接触热体，不应放在潮湿的地上。（ ）,正确
在紧急情况下，任何人都可拉运煤皮带的“拉线开关”停止皮带的运行。（ ）,正确
发生人身触电时，应立即请示领导，确认后方可断开有关设备电源。（ ）,错误
遇有电气设备着火时，应立即将有关设备的电源切断。（ ）,正确
电气工具和用具应由专人保管，定期进行检查。（ ）,正确
电气工具和用具的防护装置，如防护罩、盖等，可以任意拆卸。（ ）,错误
遇有电气设备着火时，应立即进行救火。（ ）,错误
电器工器具应由专人保管，每1年测试一次绝缘。（ ）,错误
发现有人触电，应立即切断电源，使触电人脱离电源，然后进行急救。（ ）,正确
一级动火工作票时间不得超过3天，二级动火工作票时间不得超过5天。,错误
凡在离地面 2m 以上的地点进行的工作，都应视作高处作业。,错误
工作票延期手续可以办理两次。如需再次延期，应重新办理工作票。,错误
在没有脚手架或者在没有栏杆的脚手架上工作，高度超过1.8m时，必须使用安全带，或采取其他可靠的安全措施。,错误
一个班组在同一个设备系统上依次进行同类型的设备检修工作，如全部安全措施不能在工作开始前一次完成，应分别办理工作票。,正确
从事有职业病危害岗位人员的健康检查，应按国家有关规定进行。,正确
工作场所可储存少量的煤油、汽油、酒精等。,错误
对身体状况不好、精神状态不佳的职工不能安排工作。,正确
生产现场工作人员可以穿长衣、短裤、凉鞋。,错误
所有工作人员都应学会触电和气体中毒等急救常识。,正确
电器工器具应由专人保管，每3个月测试一次绝缘。,正确
对企业发生的事故，坚持“三不放过”的原则进行处理。,错误
在无法搭设脚手架或无法安装栏杆的场所工作，高度超过2米时，必须使用安全带，或采取其他可靠的安全措施。,错误
使用砂轮机、无齿锯、磨光机时必须戴防护眼镜或面罩，并应远离其他人员和易燃、可燃物品，必要时设置遮拦和做好防火措施。,正确
可以将油料、酸、碱等液体废料倒入沟道、隧道、地下室和地坑。,错误
禁止在工作场所存储易燃物品，如汽油、煤油、酒精、稀料、油漆等。,正确
在清理端部轴封、隔板轴封或其他带有尖锐边缘的零件时，可以不戴手套。,错误
电气工具和用具的防护装置，如防护罩、盖等，可以任意拆卸。,错误
使用工具前应进行检查，严禁使用不合格的工具。,正确
大锤和手锤可以存放在热源附近。,错误
使用可燃物品(乙炔、氢气、油类、天然气、煤气)时，工作人员必须熟悉其特性及防火防爆规则。,正确
工作终结后，工作票签发人应及时报告工作许可人。,错误
因工作原因必须短时移动或拆除遮栏(围栏)、标示牌，应征得工作负责人同意，并在工作监护人的监护下进行。,错误
专责监护人临时离开时，应指定一名工作人员临时监护被监护人员工作。,错误
工作许可人和工作负责人在工作票上签名后就可以工作。,错误
值班人员发现工作人员作业中有违反安全规程行为时，有权令其停止作业。,正确
工作票必须由签发人审核、签字方可生效。,正确
工作票应由签发人填写，其它人不可以填写。,错误
不合格的工器具应报废，不得继续使用。,正确
在工作期间，工作票应始终保留在工作负责人手中。,正确
变更工作班人员时，须经工作许可人同意。,错误
工作票的改期只要值班负责人同意，在工作票上办理完手续就可以。,错误
工作票的允许工作时间必须在计划工作时间之前。,错误
过期未试验的安全工器具可以使用。,错误
工作负责人和专责监护人可轮流在现场，对工作班成员进行监护。,错误
工作班成员履行确认手续后方可开始工作。,正确
若需变更或增设安全措施，应征得站长同意。,错误
工作票一份交给站长，一份交工作负责人。,错误
工作票的票面格式各站可以自行设置，不需统一。,错误
工作票是准许在电气设备上工作的书面安全要求之一。,正确
在发现直接危及人身安全的紧急情况时，各类作业人员有权停止作业并组织人员撤离作业现场。,错误
发电厂是由建筑物、能量转换设备和全部必要的辅助设备组成的生产电能的工厂。,正确
工作场所的照明应适应作业要求。,正确
作业时的起重、焊接、高处作业等，应遵照国家、行业的相关标准、导则执行。,正确
在检修工作后应进行工作布置，明确工作地点、工作任务、工作负责人、作业环境、工作方案和书面安全要求，以及工作班成员的任务分工。,错误
作业现场的生产条件、安全设施、作业机具和安全工器具等应符合国家或行业标准规定的要求，安全工器具和劳动防护用品在使用前应确认合格、齐备。,正确
一个工作负责人最多可以同时执行两张工作票。,错误
工作票应使用统一的票面格式。,正确
除需填用工作票的工作外，其他可采用口头或电话命令方式。,正确
事故紧急抢修工作使用紧急抢修单或工作票。,正确
工作许可后，工作负责人、工作许可人任何一方不应擅自变更安全措施。,正确
运行操作、检修维护工作开工前，必须开好工前会，由负责人向每一位成员交代清楚工作内容、安全措施、风险防范等要求后方可开工，严禁1个人到现场从事工作。,正确
运行操作、检修作业前的安全措施核对，必须严格执行唱票制，防止跑错间隔、误动设备。,正确
临时安排检修的工作票，以及当日消除缺陷的工作票应在开工前一小时发送给运行。,错误
计划检修的工作票应在开工前一天发送给运行。,错误
